endpoint,CV_AUC_mean,CV_AUC_std,Held_out_TP,Held_out_TN,Held_out_FP,Held_out_FN,Held_out_BA,Held_out_AUC,Held_out_MCC,Held_out_AUCPR,Held_out_Specificity,Held_out_Sensitivity,CV_R2_mean,CV_R2_std,Held_out_R2,Held_out_RMSE,Held_out_median_fold_error,Held_out_perc_2_fold,Held_out_perc_3_fold,Held_out_perc_5_fold
BSK_3C_VCAM1_down,0.6997086247086247,0.0431350981495054,6.0,50.0,6.0,9.0,0.6464285714285715,0.6607142857142857,0.318991297595857,0.5143721579628967,0.8928571428571429,0.4,,,,,,,,
TOX21_p53_BLA_p5_viability,0.7434977479158891,0.07091477827184135,6.0,456.0,14.0,17.0,0.615541165587419,0.7045328399629973,0.24702108153453012,0.210850216859164,0.9702127659574468,0.2608695652173913,,,,,,,,
APR_HepG2_MicrotubuleCSK_24h_up,0.5979328165374677,0.14470184654360857,1.0,50.0,3.0,4.0,0.5716981132075472,0.8113207547169812,0.15883045648224772,0.27695781342840164,0.9433962264150944,0.2,,,,,,,,
BSK_CASM3C_MCSF_down,0.6888364682906774,0.10617341319007749,6.0,48.0,11.0,6.0,0.6567796610169492,0.6652542372881356,0.2753689730916157,0.31669922220981933,0.8135593220338984,0.5,,,,,,,,
BSK_CASM3C_TissueFactor_down,0.6532950680272109,0.11439948648857345,1.0,59.0,2.0,9.0,0.5336065573770492,0.6540983606557377,0.11622615093584966,0.297610948361887,0.9672131147540983,0.1,,,,,,,,
OT_ER_ERbERb_1440,0.7514279058933148,0.10189476043144362,8.0,61.0,6.0,4.0,0.7885572139303483,0.8283582089552239,0.5424619240472629,0.663289275332886,0.9104477611940298,0.6666666666666666,,,,,,,,
ATG_Myb_CIS_dn,0.7516134316134317,0.12294921910957969,1.0,128.0,10.0,3.0,0.588768115942029,0.6431159420289856,0.10988149166269637,0.29574353448275864,0.927536231884058,0.25,,,,,,,,
BSK_LPS_VCAM1_down,0.6321871168620394,0.03503704133315687,11.0,31.0,18.0,11.0,0.5663265306122449,0.6326530612244898,0.12479667455328416,0.40439895012213795,0.6326530612244898,0.5,,,,,,,,
TOX21_NFkB_BLA_agonist_ch2,0.7101287669385827,0.10167158416084915,0.0,403.0,4.0,9.0,0.4950859950859951,0.6756756756756757,-0.014652287707995792,0.04846689662191167,0.9901719901719902,0.0,,,,,,,,
NVS_NR_hPXR,0.6643333333333333,0.07890465413677729,3.0,18.0,2.0,3.0,0.7,0.6916666666666667,0.42761798705987897,0.41053391053391053,0.9,0.5,,,,,,,,
TOX21_VDR_BLA_Agonist_viability,0.7688735549011712,0.022447816876677313,19.0,351.0,25.0,21.0,0.7042553191489361,0.7593085106382979,0.3915880956606456,0.3931053730105335,0.9335106382978723,0.475,,,,,,,,
BSK_3C_IL8_down,0.699562937062937,0.05177972580199236,7.0,52.0,4.0,8.0,0.6976190476190476,0.8166666666666667,0.44588870676071046,0.6322336084957254,0.9285714285714286,0.4666666666666667,,,,,,,,
BSK_LPS_MCSF_down,0.6862717770034844,0.07153635862321006,7.0,40.0,12.0,12.0,0.5688259109311741,0.604251012145749,0.13765182186234817,0.3888521400422228,0.7692307692307693,0.3684210526315789,,,,,,,,
ATG_Xbp1_CIS_up,0.6666128454305699,0.05641029479577861,12.0,104.0,16.0,10.0,0.706060606060606,0.771969696969697,0.3747964689054208,0.43319998262186177,0.8666666666666667,0.5454545454545454,,,,,,,,
BSK_SAg_PBMCCytotoxicity_down,0.7096464646464646,0.05788963805355095,4.0,50.0,6.0,11.0,0.5797619047619048,0.6428571428571429,0.18719758333608272,0.3983444875926079,0.8928571428571429,0.26666666666666666,,,,,,,,
TOX21_ERa_BLA_Antagonist_viability,0.7437641674578686,0.06212173026452115,3.0,472.0,8.0,10.0,0.607051282051282,0.741826923076923,0.23227063198081419,0.21522136059756788,0.9833333333333333,0.23076923076923078,,,,,,,,
BSK_CASM3C_MCP1_down,0.6301977040816326,0.0864245781510887,4.0,48.0,13.0,6.0,0.5934426229508196,0.6311475409836065,0.15234162830059114,0.3580086258622833,0.7868852459016393,0.4,,,,,,,,
CEETOX_H295R_DOC_up,0.6860661764705882,0.0650557054353312,1.0,16.0,5.0,4.0,0.4809523809523809,0.3428571428571429,-0.035634832254989916,0.20493506493506491,0.7619047619047619,0.2,,,,,,,,
BSK_hDFCGF_TIMP1_down,0.7252856579984239,0.06490912023317424,4.0,56.0,3.0,8.0,0.6412429378531074,0.7062146892655368,0.35511936857946,0.4285156229714726,0.9491525423728814,0.3333333333333333,,,,,,,,
TOX21_p53_BLA_p1_ratio,0.7454372416307271,0.01951497003076633,25.0,390.0,41.0,37.0,0.6540490981213981,0.7981438515081207,0.30001138114260373,0.4402815306267542,0.9048723897911833,0.4032258064516129,,,,,,,,
TOX21_GR_BLA_Antagonist_ch2,0.784403035240905,0.031601343194384214,13.0,408.0,49.0,23.0,0.6269450522732798,0.6700097252613665,0.19921436205670187,0.21364064391219376,0.8927789934354485,0.3611111111111111,,,,,,,,
TOX21_GR_BLA_Agonist_ratio,0.8004794700541489,0.04470612182996496,15.0,425.0,29.0,24.0,0.6603693663165029,0.7533604427877556,0.3036422004248819,0.3696886310679034,0.9361233480176211,0.38461538461538464,,,,,,,,
Tanguay_ZF_120hpf_TR_up,0.4800580720092915,0.056085354305878445,0.0,43.0,9.0,6.0,0.41346153846153844,0.5641025641025641,-0.14557847581859087,0.12828516269305743,0.8269230769230769,0.0,,,,,,,,
ATG_RARa_TRANS_dn,0.6863295577130529,0.08000668634853424,3.0,116.0,14.0,9.0,0.5711538461538461,0.7153846153846154,0.1219301780766019,0.1696325434003615,0.8923076923076924,0.25,,,,,,,,
APR_HepG2_StressKinase_24h_up,0.6343902439024391,0.06609891097532344,4.0,44.0,8.0,2.0,0.7564102564102564,0.7243589743589743,0.3855432879774935,0.45348516218081436,0.8461538461538461,0.6666666666666666,,,,,,,,
BSK_4H_uPAR_down,0.6992248062015504,0.03679732035406296,8.0,40.0,13.0,10.0,0.59958071278826,0.6740041928721174,0.1898387056212239,0.4010508638953964,0.7547169811320755,0.4444444444444444,,,,,,,,
TOX21_p53_BLA_p1_ch1,0.8059361947924998,0.05385759664350455,16.0,408.0,46.0,23.0,0.6544674121766633,0.7890545577770247,0.2514737259599224,0.3649155275801519,0.8986784140969163,0.41025641025641024,,,,,,,,
NVS_NR_hGR,0.5728205128205127,0.16454997102751034,8.0,2.0,3.0,8.0,0.45,0.5375,-0.08528028654224416,0.8215273543858103,0.4,0.5,,,,,,,,
TOX21_p53_BLA_p3_viability,0.7195861204013377,0.036403178609123295,11.0,442.0,19.0,21.0,0.6512676247288502,0.6667231561822127,0.3117814784500762,0.2940325173684667,0.9587852494577006,0.34375,,,,,,,,
TOX21_PPARd_BLA_Antagonist_ch1,0.44154635258358665,0.13920430070911843,0.0,410.0,1.0,5.0,0.49878345498783455,0.5094890510948906,-0.005414271663164028,0.051481566050186375,0.9975669099756691,0.0,,,,,,,,
ATG_ERE_CIS_up,0.6797526547526549,0.048425056444054204,21.0,69.0,28.0,24.0,0.5890034364261169,0.6423825887743414,0.17421653849035282,0.45418631910319757,0.711340206185567,0.4666666666666667,,,,,,,,
TOX21_ESRE_BLA_ch1,0.8187849358736748,0.026048485940202048,0.0,410.0,0.0,6.0,0.5,0.958130081300813,0.0,0.5667270531400966,1.0,0.0,,,,,,,,
BSK_BE3C_PAI1_down,0.6392900014639146,0.06775807777264026,5.0,39.0,18.0,9.0,0.5206766917293233,0.6190476190476191,0.03515830727971361,0.36172246080416626,0.6842105263157895,0.35714285714285715,,,,,,,,
Tanguay_ZF_120hpf_ActivityScore,0.6397597597597597,0.0802526019500888,3.0,36.0,10.0,9.0,0.5163043478260869,0.5905797101449276,0.031675613357997526,0.27523232594416996,0.782608695652174,0.25,,,,,,,,
ATG_RARb_TRANS_dn,0.5843371408791971,0.05904759240802539,1.0,127.0,8.0,6.0,0.5417989417989418,0.62010582010582,0.07427866879836238,0.0900794600007502,0.9407407407407408,0.14285714285714285,,,,,,,,
BSK_3C_MCP1_down,0.742390444549913,0.04630640339607302,8.0,41.0,13.0,9.0,0.6149237472766884,0.6993464052287581,0.2149148698588362,0.359939977401012,0.7592592592592593,0.47058823529411764,,,,,,,,
OT_NURR1_NURR1RXRa_1440,0.6057539682539683,0.039505619997677,0.0,81.0,0.0,4.0,0.5,0.595679012345679,0.0,0.06933712121212121,1.0,0.0,,,,,,,,
ATG_RXRa_TRANS_up,0.5628015630309209,0.11747347854453336,0.0,135.0,1.0,6.0,0.4963235294117647,0.42769607843137253,-0.017688728441930625,0.04130117464175861,0.9926470588235294,0.0,,,,,,,,
ATG_HNF6_CIS_dn,0.6766547740400952,0.058969256346820764,0.0,135.0,1.0,6.0,0.4963235294117647,0.5906862745098039,-0.017688728441930625,0.1562993521381544,0.9926470588235294,0.0,,,,,,,,
BSK_SAg_IL8_down,0.7150396115512395,0.040575969811907475,7.0,45.0,9.0,10.0,0.6225490196078431,0.7135076252723311,0.25033400148494656,0.4370491688317468,0.8333333333333334,0.4117647058823529,,,,,,,,
TOX21_ERa_LUC_BG1_Antagonist,0.7729953496106718,0.014518054217474801,26.0,373.0,69.0,25.0,0.6768476621417798,0.7789903291633395,0.27310031602098084,0.35350201621019706,0.8438914027149321,0.5098039215686274,,,,,,,,
Tanguay_ZF_120hpf_BRAI_up,0.5400885935769657,0.1466332429314155,1.0,51.0,3.0,3.0,0.5972222222222222,0.6481481481481481,0.19444444444444445,0.25307017543859645,0.9444444444444444,0.25,,,,,,,,
