endpoint,CV_AUC_mean,CV_AUC_std,Held_out_TP,Held_out_TN,Held_out_FP,Held_out_FN,Held_out_BA,Held_out_AUC,Held_out_MCC,Held_out_AUCPR,Held_out_Specificity,Held_out_Sensitivity,CV_R2_mean,CV_R2_std,Held_out_R2,Held_out_RMSE,Held_out_median_fold_error,Held_out_perc_2_fold,Held_out_perc_3_fold,Held_out_perc_5_fold
OT_FXR_FXRSRC1_0480,0.6116392517335913,0.07370327813684915,2.0,64.0,3.0,14.0,0.5401119402985075,0.644589552238806,0.13300524118594537,0.3455354459655849,0.9552238805970149,0.125,,,,,,,,
TOX21_FXR_BLA_Antagonist_ch2,0.7704423443763576,0.08611298156518739,0.0,390.0,0.0,17.0,0.5,0.9174962292609351,0.0,0.45466024597221655,1.0,0.0,,,,,,,,
TOX21_AR_LUC_MDAKB2_Antagonist2,0.7484595219948,0.023505924931706043,37.0,284.0,52.0,34.0,0.6831824279007377,0.7420355466130113,0.33635977729901134,0.5326920033608805,0.8452380952380952,0.5211267605633803,,,,,,,,
ATG_RARa_TRANS_dn,0.5537953795379538,0.11341943213081829,0.0,126.0,1.0,12.0,0.49606299212598426,0.6692913385826772,-0.026166715911018643,0.13396027161649626,0.9921259842519685,0.0,,,,,,,,
TOX21_ESRE_BLA_ch1,0.7619626168224298,0.05917257899786924,0.0,401.0,0.0,6.0,0.5,0.5567331670822941,0.0,0.2608715985238555,1.0,0.0,,,,,,,,
TOX21_ERa_BLA_Antagonist_ratio,0.7280873781031338,0.0456331161058157,21.0,389.0,14.0,55.0,0.6207881676896957,0.764855687606112,0.3391471726668755,0.44595189939326974,0.9652605459057072,0.27631578947368424,,,,,,,,
ATG_E_Box_CIS_up,0.5962493387409629,0.18956152721830755,0.0,133.0,0.0,6.0,0.5,0.5275689223057645,0.0,0.049490830899058744,1.0,0.0,,,,,,,,
BSK_3C_MCP1_down,0.6373447690520861,0.06380541145378095,8.0,44.0,8.0,9.0,0.6583710407239819,0.7556561085972852,0.3233955001769583,0.620413972821596,0.8461538461538461,0.47058823529411764,,,,,,,,
CEETOX_H295R_PROG_up,0.5969230769230769,0.06465200427523288,0.0,16.0,1.0,7.0,0.47058823529411764,0.23529411764705885,-0.133801394982387,0.21897471109655986,0.9411764705882353,0.0,,,,,,,,
ATG_Sp1_CIS_up,0.603193499622071,0.059459827257849276,3.0,122.0,2.0,12.0,0.5919354838709677,0.6752688172043011,0.3063601211522979,0.39870877314825,0.9838709677419355,0.2,,,,,,,,
APR_HepG2_MitoMembPot_24h_dn,0.46234567901234574,0.05072831562898456,1.0,44.0,2.0,9.0,0.5282608695652175,0.5369565217391304,0.09613817419242071,0.29042481787142194,0.9565217391304348,0.1,,,,,,,,
APR_HepG2_MitoMass_72h_up,0.552560975609756,0.0700550714997255,0.0,50.0,0.0,5.0,0.5,0.5920000000000001,0.0,0.18866790009250695,1.0,0.0,,,,,,,,
BSK_BE3C_MMP1_down,0.7004960317460318,0.05728975551680781,2.0,58.0,3.0,6.0,0.6004098360655737,0.7459016393442623,0.24799400111729303,0.42838972710296236,0.9508196721311475,0.25,,,,,,,,
TOX21_p53_BLA_p4_ratio,0.7086744513694869,0.02989610495562762,23.0,405.0,7.0,44.0,0.6631466454137082,0.7856832343138676,0.4671005251072799,0.5624376537227936,0.9830097087378641,0.34328358208955223,,,,,,,,
NCCT_HEK293T_CellTiterGLO,0.6053391053391053,0.09233602629012132,5.0,4.0,5.0,9.0,0.4007936507936508,0.4365079365079365,-0.1953363462243731,0.6741906629939531,0.4444444444444444,0.35714285714285715,,,,,,,,
TOX21_p53_BLA_p1_ch2,0.7664534467268842,0.05028202478084056,16.0,436.0,3.0,24.0,0.6965831435079727,0.7961275626423691,0.5572920023847264,0.5620209501078226,0.9931662870159453,0.4,,,,,,,,
ATG_PPRE_CIS_up,0.5289570607258355,0.05567867813450076,3.0,96.0,14.0,26.0,0.4880877742946708,0.4288401253918495,-0.029547032830535332,0.19872916030971335,0.8727272727272727,0.10344827586206896,,,,,,,,
ATG_BRE_CIS_up,0.6445681055919661,0.03717982368990295,5.0,108.0,9.0,17.0,0.5751748251748252,0.6546231546231547,0.18234240112697664,0.30161560623405437,0.9230769230769231,0.22727272727272727,,,,,,,,
TOX21_AR_LUC_MDAKB2_Antagonist,0.7369558967281928,0.050469782488944695,13.0,420.0,6.0,40.0,0.6155992559128355,0.7866950128443618,0.3715968743679716,0.4751117718433498,0.9859154929577465,0.24528301886792453,,,,,,,,
Tanguay_ZF_120hpf_SNOU_up,0.5218717948717948,0.12527440084023803,0.0,49.0,0.0,7.0,0.5,0.5276967930029155,0.0,0.13822560444392193,1.0,0.0,,,,,,,,
TOX21_ERa_BLA_Agonist_ch2,0.5517617446634864,0.04506891512098559,0.0,446.0,0.0,33.0,0.5,0.5582959641255605,0.0,0.1158704801003756,1.0,0.0,,,,,,,,
TOX21_AutoFluor_HEK293_Media_blue,0.6086180160162942,0.07550198745131359,0.0,474.0,0.0,5.0,0.5,0.718565400843882,0.0,0.10276012216853857,1.0,0.0,,,,,,,,
