dataset,activity,metric,t-statistic,p-value,features
toxcast,BSK_LPS_IL8_down,structural,2.900265901127599,0.004274348907337722,
toxcast,BSK_LPS_IL8_down,image,4.378055810949873,2.2007805974685945e-05,
toxcast,BSK_LPS_IL8_down,structural,2.900265901127599,0.004274348907337722,
toxcast,BSK_LPS_IL8_down,image,4.378055810949873,2.2007805974685945e-05,
toxcast,BSK_LPS_IL8_down,,2.900265901127599,0.004274348907337722,structural
toxcast,BSK_LPS_IL8_down,,4.378055810949873,2.2007805974685945e-05,image
toxcast,BSK_LPS_IL8_down,,2.900265901127599,0.004274348907337722,structural
toxcast,BSK_LPS_IL8_down,,4.378055810949873,2.2007805974685945e-05,image
toxcast,BSK_LPS_IL8_down,,2.900265901127599,0.004274348907337722,structural
toxcast,BSK_LPS_IL8_down,,4.378055810949873,2.2007805974685945e-05,image
toxcast,BSK_LPS_IL8_down,,2.900265901127599,0.004274348907337722,structural
toxcast,BSK_LPS_IL8_down,,4.378055810949873,2.2007805974685945e-05,image
