DILIST_ID,CompoundName,smiles,DILIst Classification ,Source,Routs of Administration 
191,cupric chloride,[Cl-].[Cl-].[Cu++],0,DILIst Classification  Intravenous,Intravenous
397,nitroprusside,[Fe++].[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+],0,DILIst Classification  Intravenous,Intravenous
1129,Buprenorphine,[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC6CC6)CC[C@@]14[C@@]51CC[C@@]2(OC)[C@]([H])(C1)[C@](C)(O)C(C)(C)C)=CC=C3O,1,DILIst Classification  ,
39,cisplatin,[H][N]([H])([H])[Pt++]([Cl-])([Cl-])[N]([H])([H])[H],1,DILIst Classification  Intravenous,Intravenous
34,carboplatin,[H][N]([H])([H])[Pt++]1([O-]C(=O)C2(CCC2)C(=O)[O-]1)[N]([H])([H])[H],1,DILIst Classification  Intravenous,Intravenous
1058,aurothioglucose,[H][O]1[Au+][S-]C2O[C@H](CO)[C@@H](O)[C@H](O)[C@@]12[H],1,DILIst Classification  Intramuscular,Intramuscular
591,varenicline,[H]C12CC([H])(CNC1)C1=CC3=NC=CN=C3C=C21,1,DILIst Classification  Oral,Oral
951,Tiotropium,[H]C12CC(CC([H])(C3OC13)[N+]2(C)C)OC(=O)C(O)(C1=CC=CS1)C1=CC=CS1,0,DILIst Classification  Oral; Respiratory (inhalation),Oral; Respiratory (inhalation)
830,scopolamine,[H]C12CC(CC([H])(C3OC13)N2C)OC(=O)C(CO)C1=CC=CC=C1,0,DILIst Classification  Intravenous,Intravenous
436,dolasetron,[H]C12CC(CC3([H])CC([H])(C1)C(=O)CN23)OC(=O)C1=CNC2=CC=CC=C12,0,DILIst Classification  Oral,Oral
315,saxagliptin,[H]C12CC3([H])CC(O)(C1)CC(C2)(C3)C(N)C(=O)N1C2CC2CC1C#N,0,DILIst Classification  Oral,Oral
756,pentazocine,[H]C12CC3=C(C=C(O)C=C3)C(C)(CCN1CC=C(C)C)C2C,0,DILIst Classification  Intravenous,Intravenous
355,levorphanol,[H]C12CC3=C(C=C(O)C=C3)C3(CCCCC13)CCN2C,0,DILIst Classification  Oral,Oral
849,dextromethorphan,[H]C12CC3=C(C=C(OC)C=C3)C3(CCCCC13)CCN2C,0,DILIst Classification  Oral,Oral
944,Nalmefene,[H]C12CC3=C4C(OC5C(=C)CCC1(O)C45CCN2CC1CC1)=C(O)C=C3,0,DILIst Classification  Oral,Oral
371,oxymorphone,[H]C12CC3=C4C(OC5C(=O)CCC1(O)C45CCN2C)=C(O)C=C3,0,DILIst Classification  Oral,Oral
433,oxycodone,[H]C12CC3=C4C(OC5C(=O)CCC1(O)C45CCN2C)=C(OC)C=C3,0,DILIst Classification  Oral,Oral
278,naloxone,[H]C12CC3=C4C(OC5C(=O)CCC1(O)C45CCN2CC=C)=C(O)C=C3,0,DILIst Classification  Intravenous,Intravenous
176,naltrexone,[H]C12CC3=C4C(OC5C(=O)CCC1(O)C45CCN2CC1CC1)=C(O)C=C3,0,DILIst Classification  Oral,Oral
409,hydromorphone,[H]C12CC3=C4C(OC5C(=O)CCC1C45CCN2C)=C(O)C=C3,0,DILIst Classification  Oral,Oral
918,Hydrocodone,[H]C12CC3=C4C(OC5C(=O)CCC1C45CCN2C)=C(OC)C=C3,0,DILIst Classification  Oral,Oral
405,morphine,[H]C12CC3=C4C(OC5C(O)C=CC1C45CCN2C)=C(O)C=C3,0,DILIst Classification  Oral,Oral
607,codeine,[H]C12CC3=C4C(OC5C(O)C=CC1C45CCN2C)=C(OC)C=C3,0,DILIst Classification  Oral,Oral
737,nalbuphine,[H]C12CC3=C4C(OC5C(O)CCC1(O)C45CCN2CC1CCC1)=C(O)C=C3,0,DILIst Classification  Intravenous,Intravenous
1150,Dihydrocodeine,[H]C12CC3=C4C(OC5C(O)CCC1C45CCN2C)=C(OC)C=C3,1,DILIst Classification  ,
1264,Trabectedin,[H]C12CC3=CC(C)=C(OC)C(O)=C3C([H])(C3N(C1O)C1([H])COC(=O)C4(CSC3([H])C3=C(OC(C)=O)C(C)=C5OCOC5=C13)NCCC1=CC(O)=C(OC)C=C41)N2C,1,DILIst Classification  ,
528,butorphanol,[H]C12CC3=CC=C(O)C=C3C3(CCCCC13O)CCN2CC1CCC1,0,DILIst Classification  Intravenous,Intravenous
1253,Tandospirone,[H]C12CCC([H])(C1)C1C2C(=O)N(CCCCN2CCN(CC2)C2=NC=CC=N2)C1=O,1,DILIst Classification  ,
298,maraviroc,[H]C12CCC([H])(CC(C1)N1C(C)=NN=C1C(C)C)N2CCC(NC(=O)C1CCC(F)(F)CC1)C1=CC=CC=C1,1,DILIst Classification  Oral,Oral
241,atropine,[H]C12CCC([H])(CC(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C,0,DILIst Classification  Intravenous,Intravenous
939,Hyoscyamine,[H]C12CCC([H])(CC(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C,0,DILIst Classification  oral,oral
244,trospium,[H]C12CCC([H])(CC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,0,DILIst Classification  Oral,Oral
509,benztropine,[H]C12CCC([H])(CC(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,0,DILIst Classification  Oral,Oral
255,granisetron,[H]C12CCCC([H])(CC(C1)NC(=O)C1=NN(C)C3=CC=CC=C13)N2C,0,DILIst Classification  Oral,Oral
515,palonosetron,[H]C12CCN(CC1)CC2N1CC2CCCC3=C2C(=CC=C3)C1=O,0,DILIst Classification  Intravenous,Intravenous
557,solifenacin,[H]C12CCN(CC1)CC2OC(=O)N1CCC2=CC=CC=C2C1C1=CC=CC=C1,0,DILIst Classification  Oral,Oral
151,vinorelbine,[H]C12CN(CC(CC)=C1)CC1=C(NC3=CC=CC=C13)C(C2)(C(=O)OC)C1=CC2=C(C=C1OC)N(C)C1C22CCN3CC=CC(CC)(C23)C(OC(C)=O)C1(O)C(=O)OC,0,DILIst Classification  Intravenous,Intravenous
1275,Vindesine,[H]C12CN(CC(O)(CC)C1)CCC1=C(NC3=CC=CC=C13)C(C2)(C(=O)OC)C1=CC2=C(C=C1OC)N(C)C1C22CCN3CC=CC(CC)(C23)C(O)C1(O)C(N)=O,1,DILIst Classification  ,
